"date","tau","K","call_option_price","S","r","put_option_price"
"2014-01-03",15,1740,92.6,1831.37,0.0018,1.775
"2014-01-03",15,1745,87.5,1831.37,0.0018,1.925
"2014-01-03",15,1750,82.65,1831.37,0.0018,1.925
"2014-01-03",15,1755,77.8,1831.37,0.0018,2.25
"2014-01-03",15,1760,73,1831.37,0.0018,2.45
"2014-01-03",15,1765,68.45,1831.37,0.0018,2.75
"2014-01-03",15,1770,63.75,1831.37,0.0018,3.05
"2014-01-03",15,1775,59.05,1831.37,0.0018,3.375
"2014-01-03",15,1780,54.25,1831.37,0.0018,3.7
"2014-01-03",15,1785,49.75,1831.37,0.0018,4.35
"2014-01-03",15,1790,45.5,1831.37,0.0018,4.75
"2014-01-03",15,1795,41.15,1831.37,0.0018,5.35
"2014-01-03",15,1800,36.95,1831.37,0.0018,6.2
"2014-01-03",15,1805,33.05,1831.37,0.0018,7.1
"2014-01-03",15,1810,29,1831.37,0.0018,8.15
"2014-01-03",15,1815,25.25,1831.37,0.0018,9.4
"2014-01-03",15,1820,21.75,1831.37,0.0018,10.9
"2014-01-03",15,1825,18.55,1831.37,0.0018,12.55
"2014-01-03",15,1830,15.6,1831.37,0.0018,14.5
"2014-01-03",15,1835,12.85,1831.37,0.0018,16.75
"2014-01-03",15,1840,10.35,1831.37,0.0018,19.25
"2014-01-03",15,1845,8.25,1831.37,0.0018,22.2
"2014-01-03",15,1850,6.5,1831.37,0.0018,25.5
"2014-01-03",15,1855,4.95,1831.37,0.0018,28.9
"2014-01-03",15,1860,3.8,1831.37,0.0018,32.75
"2014-01-03",15,1865,2.825,1831.37,0.0018,37
"2014-01-03",15,1870,2.05,1831.37,0.0018,41.3
"2014-01-03",15,1875,1.7,1831.37,0.0018,46
"2014-01-03",35,1740,96.45,1831.37,0.0022,6.9
"2014-01-03",35,1745,92.45,1831.37,0.0022,7.3
"2014-01-03",35,1750,87.95,1831.37,0.0022,7.85
"2014-01-03",35,1755,83.55,1831.37,0.0022,8.35
"2014-01-03",35,1760,79.2,1831.37,0.0022,9
"2014-01-03",35,1765,74.9,1831.37,0.0022,9.7
